id,name,slug,depth,parentId,path
a6609ea4b316,Sub Categories (LEFT SIDE),sub-categories-left-side,2,d53201cde18b,"Agriculture, Food & Beverage/Sub Categories (LEFT SIDE)"
ed0ee45791fb,Sub Categories names (RIGHT SIDE),sub-categories-names-right-side,3,a6609ea4b316,"Agriculture, Food & Beverage/Sub Categories (LEFT SIDE)/Sub Categories names (RIGHT SIDE)"
faf58d113f45,Accessories,accessories,2,ed469afc00ca,Apparel & Accessories/Accessories
2ce67f1a3b56,Ethnic Clothing & Accessories,ethnic-clothing-accessories,2,ed469afc00ca,Apparel & Accessories/Ethnic Clothing & Accessories
3d4fd0cca234,Islamic Clothing,islamic-clothing,3,2ce67f1a3b56,Apparel & Accessories/Ethnic Clothing & Accessories/Islamic Clothing
e694c1deebb2,Traditional muslim clothing accessories,traditional-muslim-clothing-accessories,4,3d4fd0cca234,Apparel & Accessories/Ethnic Clothing & Accessories/Islamic Clothing/Traditional muslim clothing accessories
2f84c32a4893,Garment & Processing Accessories,garment-processing-accessories,2,ed469afc00ca,Apparel & Accessories/Garment & Processing Accessories
c630daf40c61,Badges,badges,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Badges
f7c8c9e8e89b,Boning,boning,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Boning
3d8166f0631c,Braid,braid,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Braid
c83630f2910b,Buckles,buckles,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Buckles
4bf9fba4371b,Buttons,buttons,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Buttons
54f5d25cb312,Cords,cords,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Cords
a6767cb31999,Garment Beads,garment-beads,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Garment Beads
6b6f72b09c36,Garment Clips,garment-clips,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Garment Clips
be658a144f57,Garment Eyelets,garment-eyelets,3,2f84c32a4893,Apparel & Accessories/Garment & Processing Accessories/Garment Eyelets
