slug,label,source
sub-categories-left-side,Sub Categories (LEFT SIDE),folder_name
sub-categories-names-right-side,Sub Categories names (RIGHT SIDE),folder_name
accessories,Accessories,folder_name
ethnic-clothing,Ethnic Clothing,folder_name
islamic-clothing,Islamic Clothing,folder_name
traditional-muslim-clothing-accessories,Traditional muslim clothing accessories,folder_name
garment,Garment,folder_name
processing-accessories,Processing Accessories,folder_name
badges,Badges,folder_name
boning,Boning,folder_name
braid,Braid,folder_name
buckles,Buckles,folder_name
buttons,Buttons,folder_name
cords,Cords,folder_name
garment-beads,Garment Beads,folder_name
garment-clips,Garment Clips,folder_name
garment-eyelets,Garment Eyelets,folder_name
garment-hooks,Garment Hooks,folder_name
garment-labels,Garment Labels,folder_name
garment-tags,Garment Tags,folder_name
garmment-rivets,Garmment Rivets,folder_name
hook,Hook,folder_name
loop-tapes,Loop Tapes,folder_name
innerlinings,Innerlinings,folder_name
linings,Linings,folder_name
knitting-rib,Knitting Rib,folder_name
lace,Lace,folder_name
mannequins,Mannequins,folder_name
other-garment-accessories,Other Garment Accessories,folder_name
other-sewing-supplies,Other Sewing Supplies,folder_name
patches,Patches,folder_name
rhinestones,Rhinestones,folder_name
ribbons,Ribbons,folder_name
sequins,Sequins,folder_name
sewing-needles,Sewing Needles,folder_name
sewing-threads,Sewing Threads,folder_name
shoulder-pads,Shoulder Pads,folder_name
stoppers,Stoppers,folder_name
tag-guns,Tag Guns,folder_name
tailors-scissors,Tailor's Scissors,folder_name
trimmings,Trimmings,folder_name
underwear-accessories,Underwear Accessories,folder_name
webbing,Webbing,folder_name
zipper-sliders,Zipper Sliders,folder_name
zippers,Zippers,folder_name
hats,Hats,folder_name
caps,Caps,folder_name
lisurewear,Lisurewear,folder_name
mens-clothing,Men's Clothing,folder_name
other-apparel-accessories,Other Apparel Accessories,folder_name
apparel-stock,Apparel Stock,folder_name
other-apparel,Other Apparel,folder_name
other-fashion-accessories,Other Fashion Accessories,folder_name
used-clothes,Used Clothes,folder_name
socks,Socks,folder_name
hoisery,Hoisery,folder_name
underwear,Underwear,folder_name
sleepware,Sleepware,folder_name
uniforms,Uniforms,folder_name
costumes,Costumes,folder_name
wedding-apparel,Wedding Apparel,folder_name
womens-clothing,Womens Clothing,folder_name
pet-food,Pet food,folder_name
dry-food,Dry Food,folder_name
other-pet-food,Other Pet Food,folder_name
pet-health-care,Pet Health Care,folder_name
supplements,Supplements,folder_name
treats,Treats,folder_name
wet-food,Wet Food,folder_name
pet-products,Pet Products,folder_name
pet-leashes,Pet Leashes,folder_name
pet-tracker,Pet Tracker,folder_name
playpens,Playpens,folder_name
middle-east-two-piece-femmes-muslim-dubai-casual-dress,Middle East Two Piece Femmes Muslim Dubai Casual Dress,product_name
zaynab-elegant-womens-abaya-muslim-dress,Zaynab Elegant Women's Abaya Muslim Dress,product_name
pistachio-kernels-fresh-raw-pistachio-nuts-dry-processed-snacks-and-food-ingredients-selected-large-nuts,Pistachio Kernels Fresh Raw Pistachio Nuts Dry Processed Snacks and Food Ingredients Selected Large Nuts,product_name
